# incorrecto	correcto	modo
# modo: auto = seguro de corregir | manual = ambiguo, solo se reporta
# Solo minusculas salvo nombres propios: el script deriva Capitalizada y MAYUSCULA.
#
# --- terminacion -cion / -sion (singular lleva tilde, plural NO) ---
iniciara	iniciará	auto
llegara	llegará	auto
mostrara	mostrará	auto
perdera	perderá	auto
procesara	procesará	auto
recibira	recibirá	auto
reintentara	reintentará	auto
sincronizara	sincronizará	auto
volvera	volverá	auto
# --- nombres propios ---
Bogota	Bogotá	auto
Medellin	Medellín	auto
Cucuta	Cúcuta	auto
Monteria	Montería	auto
Ibague	Ibagué	auto
Popayan	Popayán	auto
Quibdo	Quibdó	auto
Boyaca	Boyacá	auto
Caqueta	Caquetá	auto
Choco	Chocó	auto
Cordoba	Córdoba	auto
Vaupes	Vaupés	auto
Atlantico	Atlántico	auto
Bolivar	Bolívar	auto
Narino	Nariño	auto
Espana	España	auto
Mexico	México	auto
Panama	Panamá	auto
Peru	Perú	auto
Canada	Canadá	auto
Japon	Japón	auto
Interrapidisimo	Interrapidísimo	auto
# --- mas -cion / -sion ---
ampliacion	ampliación	auto
anulacion	anulación	auto
atencion	atención	auto
bonificacion	bonificación	auto
condicion	condición	auto
decision	decisión	auto
declaracion	declaración	auto
deduccion	deducción	auto
definicion	definición	auto
distribucion	distribución	auto
division	división	auto
estacion	estación	auto
evaluacion	evaluación	auto
excepcion	excepción	auto
explicacion	explicación	auto
funcion	función	auto
identificacion	identificación	auto
impresion	impresión	auto
inscripcion	inscripción	auto
liquidacion	liquidación	auto
modificacion	modificación	auto
navegacion	navegación	auto
observacion	observación	auto
organizacion	organización	auto
presentacion	presentación	auto
programacion	programación	auto
recuperacion	recuperación	auto
reduccion	reducción	auto
reparacion	reparación	auto
restauracion	restauración	auto
restriccion	restricción	auto
revision	revisión	auto
seccion	sección	auto
separacion	separación	auto
simulacion	simulación	auto
traduccion	traducción	auto
transformacion	transformación	auto
# --- esdrujulas y otras ---
aereo	aéreo	auto
boton	botón	auto
calculo	cálculo	auto
calculos	cálculos	auto
capitulo	capítulo	auto
caracter	carácter	auto
estadistica	estadística	auto
estadisticas	estadísticas	auto
grafico	gráfico	auto
graficos	gráficos	auto
ingles	inglés	auto
interes	interés	auto
linea	línea	auto
lineas	líneas	auto
metrica	métrica	auto
metricas	métricas	auto
miercoles	miércoles	auto
modulo	módulo	auto
modulos	módulos	auto
nomina	nómina	auto
politica	política	auto
politicas	políticas	auto
proposito	propósito	auto
sabado	sábado	auto
sintesis	síntesis	auto
terminos	términos	auto
tramite	trámite	auto
tramites	trámites	auto
vehiculo	vehículo	auto
vehiculos	vehículos	auto
# --- ambiguos: solo se reportan con --ambiguos, jamas se autocorrigen ---
esta	está	manual
estas	estás	manual
este	esté	manual
aun	aún	manual
publica	pública	manual
publico	público	manual
seria	sería	manual
continuo	continúo	manual
practica	práctica	manual
termino	término	manual
genero	generó	manual
cambio	cambió	manual
proceso	procesó	manual
union	unión	manual
